shipment_id,carrier_name,route,shipment_date,delay_minutes,sla_breach_minutes,total_additional_cost,is_anomaly,anomaly_score,risk_category
1,COSCO,Dubai-London,2025-06-04 00:00:00,0.0,0.0,551.62,0,0.06247654206943909,Medium
2,Maersk,New_York-Hamburg,2024-11-11 00:00:00,-588.0,0.0,1867.05,0,0.04336849754057592,Medium
3,CMA_CGM,Rotterdam-New_York,2024-10-08 00:00:00,4320.0,1440.0,600.0,0,0.012056872029091115,Medium
4,COSCO,Mumbai-Dubai,2025-07-13 00:00:00,7200.0,2880.0,5196.04,1,-0.07704742284512778,High
5,DHL,Rotterdam-New_York,2025-01-13 00:00:00,5760.0,1440.0,2372.04,1,-0.006033334651427302,High
6,Kuehne_Nagel,New_York-Hamburg,2025-01-02 00:00:00,0.0,0.0,253.32,0,0.06948294140647837,Medium
7,CMA_CGM,Hong_Kong-Tokyo,2024-12-24 00:00:00,4320.0,0.0,1352.59,0,0.013205573823437122,Medium
8,CMA_CGM,New_York-Hamburg,2024-11-22 00:00:00,2880.0,0.0,0.0,0,0.023025002273542317,Medium
9,COSCO,London-Singapore,2025-07-12 00:00:00,8640.0,4320.0,1800.0,1,-0.04550241179696035,High
10,UPS,Hong_Kong-Tokyo,2024-11-07 00:00:00,-600.0,0.0,356.1,0,0.05413498945231282,Medium
11,DHL,New_York-Hamburg,2025-06-18 00:00:00,0.0,0.0,2177.97,0,0.005870188773353213,Medium
12,COSCO,Rotterdam-New_York,2025-07-13 00:00:00,5760.0,0.0,2180.25,0,0.0412899217646287,Medium
13,DHL,Shanghai-Rotterdam,2025-09-10 00:00:00,8640.0,1440.0,1200.0,1,-0.030764656562761172,High
14,DHL,Los_Angeles-Tokyo,2025-04-28 00:00:00,1440.0,0.0,392.99,0,0.07359937953631163,Medium
15,Kuehne_Nagel,Singapore-Hamburg,2024-11-01 00:00:00,10080.0,4320.0,3229.97,1,-0.02737444647031151,High
16,CMA_CGM,Shanghai-Los_Angeles,2025-05-16 00:00:00,0.0,0.0,484.99,0,0.05233212905359225,Medium
17,Maersk,Rotterdam-New_York,2025-03-11 00:00:00,2880.0,0.0,487.44,0,0.06939495823588365,Medium
18,Kuehne_Nagel,London-Singapore,2024-10-11 00:00:00,4320.0,1440.0,1818.8,0,0.022806873372813286,Medium
19,Kuehne_Nagel,Hong_Kong-Tokyo,2024-10-10 00:00:00,5760.0,1440.0,1200.0,1,-0.00546641359976241,High
20,DHL,New_York-Hamburg,2024-11-04 00:00:00,0.0,0.0,1156.83,0,0.02285021163534251,Medium
21,MSC,Hong_Kong-Tokyo,2024-12-22 00:00:00,2880.0,0.0,336.01,0,0.007214835121095775,Medium
22,CMA_CGM,Shanghai-Los_Angeles,2024-12-28 00:00:00,5760.0,1440.0,3017.66,1,-0.03219254704117547,High
23,UPS,Shanghai-Los_Angeles,2025-04-13 00:00:00,14400.0,8640.0,8162.59,1,-0.07873106701037424,High
24,Kuehne_Nagel,Rotterdam-New_York,2025-05-20 00:00:00,5760.0,2880.0,1882.28,0,0.02049762570517949,Medium
25,Maersk,Shanghai-Los_Angeles,2024-10-09 00:00:00,2880.0,0.0,0.0,0,0.05760671306848397,Medium
26,MSC,Los_Angeles-Tokyo,2025-05-04 00:00:00,-299.0,0.0,402.34,0,0.059611293753362604,Medium
27,MSC,Rotterdam-New_York,2024-12-15 00:00:00,2880.0,0.0,1117.47,0,0.028444799682191768,Medium
28,UPS,Los_Angeles-Tokyo,2025-07-04 00:00:00,0.0,0.0,1493.81,0,0.06760724031517551,Medium
29,Kuehne_Nagel,Hong_Kong-Tokyo,2025-06-08 00:00:00,2880.0,0.0,719.29,0,0.028193847892232338,Medium
30,Maersk,Shanghai-Los_Angeles,2025-06-28 00:00:00,0.0,0.0,972.65,0,0.05181657883417179,Medium
31,CMA_CGM,Dubai-London,2025-04-28 00:00:00,11520.0,7200.0,3362.38,1,-0.04965303727546144,High
32,FedEx,Rotterdam-New_York,2025-03-10 00:00:00,2880.0,0.0,762.33,0,0.06812468308665565,Medium
33,Maersk,Mumbai-Dubai,2024-12-23 00:00:00,1440.0,0.0,0.0,0,0.02169337060807275,Medium
34,UPS,Hong_Kong-Tokyo,2025-03-22 00:00:00,1440.0,0.0,0.0,0,0.03726696361188603,Medium
